ticker,yfExchange,convertedExchangePYPL,BA,
WM,VI,
ICEI,VI,
CAT,VI,
EI,VI,
AAPL,VI,
EOGR,VI,
NOCO,VI,
MEO,VI,
NFLX,VI,
SPGI,VI,
CNN1,VI,
PMOR,VI,
CHMG,VI,
EQIX,VI,
MONC,VI,
KOMT,VI,
TMOF,VI,
HFG,VI,
ALTR,VI,
RBI,VI,
BLL,VI,
GLW,VI,
HON,VI,
UPSI,VI,
DIS,VI,
ZOTS,VI,
CVX,VI,
AMUN,VI,
TTD,VI,
GS,VI,
EWLS,VI,
MSFT,VI,
ADBE,VI,
AFX,VI,
KR,VI,
CTAS,VI,
DPZ,VI,
METL,VI,
NCLH,VI,
BZU,VI,
TLX,VI,
FAST,VI,
ORCL,VI,
CHD,VI,
AMZN,VI,
UBS,VI,
DRW3,VI,
NWSE,VI,
POST,VI,
KD,VI,
CSX,VI,
MSCI,VI,
JAT,VI,
PRU,VI,
SAP,VI,
ISRG,VI,
SYY,VI,
SIRI,VI,
HDD,VI,
DHRC,VI,
TMUS,VI,
ANET,VI,
JNJ,VI,
PANW,VI,
XRAY,VI,
APH,VI,
RACE,VI,
MAR,VI,
ADP,VI,
SRG,VI,
AI,VI,
OTIS,VI,
SCHW,VI,
HLTW,VI,
DAL,VI,
ANSS,VI,
BNR,VI,
NSCO,VI,
AIG,VI,
SBUX,VI,
PEPS,VI,
ITW,VI,
ENI,VI,
AOC,VI,
TRE,VI,
ENPH,VI,
MRVL,VI,
TXN,VI,
FOSL,VI,
MWD,VI,
KWS,VI,
BMYS,VI,
NKE,VI,
ADS,VI,
EMR,VI,
MC,VI,
ROST,VI,
ALGN,VI,
HPQ,VI,
JEN,VI,
AMCE,VI,
BLK,VI,
CARL,VI,
RTL,VI,
LULU,VI,
WMT,VI,
BAX,VI,
ILMN,VI,
LMT,VI,
AMTG,VI,
FP,VI,
NOEJ,VI,
LDO,VI,
ECL,VI,
RMD,VI,
IWA,VI,
ANDR,VI,
KDP,VI,
ENG,VI,
AZO,VI,
APCD,VI,
SONO,VI,
WMB,VI,
SIE,VI,
NVDA,VI,
HEI,VI,
UNPC,VI,
